state_county,nursing_home_count,overall_rating,health_insp_rating,qm_rating,longstay_qm_rating,shortstay_qm_rating,staffing_rating,rn_staffing_rating,nursing_turnover,rn_turnover,admin_turnover,nurse_aide_hrspres,lpn_hrspres,rn_hrspres,total_nurse_hrspres,total_weighted_health_survey_score,reported_incidents,substantiated_complaints,infection_control_citations,num_fines,fines_dollar_total,num_payment_denials,total_penalties
"AL, Franklin",4,4.25,4.0,4.25,4.5,3.5,4.0,4.5,54.1,55.57,1.0,2.17,0.89,1.09,4.05,11.5,0,0,0.0,1,655.14,0,1
"AL, Talladega",3,4.0,3.67,2.67,2.0,2.33,3.67,3.33,56.3,42.2,1.0,2.66,1.0,0.74,4.36,13.778,0,0,0.0,1,650.0,0,1
"AL, Jackson",3,2.33,2.67,2.33,2.0,3.0,2.0,2.0,52.5,33.3,1.0,2.4,0.97,0.78,4.09,20.222333333333335,0,0,1.0,3,2932.71,0,3
"AL, Jefferson",34,2.15,2.09,3.12,3.15,3.07,2.65,2.59,58.28,55.07,1.45,2.17,1.02,0.57,3.72,34.666647058823536,9,39,16.0,37,343424.26000000007,1,38
"AL, Limestone",2,2.0,2.0,3.5,3.5,3.5,2.5,2.5,50.0,42.75,1.0,1.85,0.88,0.5,3.19,23.0,3,4,0.0,0,0.0,0,0
"AL, Elmore",4,3.5,3.25,3.75,4.25,3.25,3.0,2.33,56.8,58.13,4.67,2.58,1.06,0.48,4.11,13.5,6,2,0.0,0,0.0,0,0
"AL, Chilton",1,5.0,3.0,5.0,4.0,5.0,4.0,5.0,48.6,33.3,0.0,1.72,1.0,1.32,3.78,16.0,2,0,0.0,0,0.0,0,0
"AL, Colbert",3,4.33,4.67,2.67,3.0,2.67,4.33,4.67,61.67,41.83,0.33,2.08,0.83,1.03,3.86,5.555666666666667,0,1,0.0,1,3250.0,0,1
"AL, Lauderdale",5,4.0,3.6,4.0,3.2,4.33,3.4,3.6,50.85,40.33,1.5,2.11,0.92,0.71,3.69,15.0668,0,0,5.0,1,3250.0,0,1
"AL, Baldwin",7,2.14,2.0,3.0,2.71,3.43,2.86,3.0,59.04,56.9,1.0,2.04,1.04,0.72,3.76,90.85714285714286,3,4,3.0,11,140952.99,0,11
"AL, Tuscaloosa",6,3.33,2.5,3.67,3.5,3.83,3.5,3.33,49.5,48.6,2.0,2.62,0.95,0.68,4.24,22.0,0,6,1.0,8,20390.11,1,9
"AL, Escambia",2,4.5,4.5,3.5,2.5,4.0,4.0,3.5,44.55,33.65,0.0,2.8,1.29,0.68,4.72,7.6665,0,0,0.0,0,0.0,0,0
"AL, Montgomery",9,2.56,2.11,3.67,3.56,3.8,2.25,2.12,56.39,47.03,0.5,2.08,0.91,0.52,3.5,49.22233333333333,3,9,0.0,16,201997.71000000002,0,16
"AL, Sumter",1,2.0,2.0,4.0,3.0,4.0,2.0,3.0,44.7,41.7,0.0,1.93,0.54,0.54,3.0,25.333,0,0,0.0,0,0.0,0,0
"AL, Chambers",4,3.25,3.0,3.75,3.25,3.5,3.25,3.25,51.7,36.53,0.33,2.29,1.09,0.66,3.99,33.75,0,0,0.0,3,2282.8,0,3
"AL, Cullman",5,4.5,4.25,3.75,4.25,3.33,3.25,3.25,55.62,51.72,0.0,2.54,1.08,0.72,4.28,9.0,0,1,0.0,2,10097.75,0,2
"AL, Cleburne",1,5.0,5.0,5.0,4.0,5.0,4.0,4.0,51.3,41.7,1.0,2.8,1.19,0.9,4.82,5.333,2,2,2.0,0,0.0,0,0
