state_county,Population,Race_White,Race_Black,Race_Asian,Race_Native,Race_Hispanic,Race_Multi,Alone_65,Under18,Over65,UnderHS,Ed_HSDiploma,Ed_SomeCollege,Ed_Assoc,Ed_Degree
"AK, Alaska",731545,62.24,3.0,5.12,14.02,5.37,7.09,2.69,10327587795757.0,3030172121084.0,2800321720878.0,10963248570794.0,10467799214558.0,3348805243905.0,11569047525306.0
"AK, Aleutians East",3337,12.74,6.35,33.35,26.04,11.54,4.58,2.07,438749.0,183735.0,540059.99,1614640.99,933159.01,200454.0,427603.0
"AK, Aleutians West",5634,30.97,5.64,27.96,14.93,12.89,5.52,1.3,2621894.99,618950.99,1885474.0,6980075.01,4697797.99,1272833.0,3047205.01
"AK, Anchorage",288000,63.48,5.32,8.06,7.66,7.66,8.21,2.63,620371353600.0,172946534400.0,145674547200.0,559457280000.0,606727065600.0,214360473600.0,862559539200.0
"AK, Bethel",18386,10.08,0.35,0.86,76.45,0.98,3.88,0.84,227166201.0,38029970.0,118653867.0,288521386.0,111859137.0,28666164.0,73828983.0
"AK, Bristol Bay",836,56.94,0.0,0.96,39.47,2.87,19.98,3.11,13208.97,4891.03,3494.02,21594.02,15725.0,4405.98,13141.99
"AK, Denali",2097,76.97,0.48,0.91,3.05,2.0,3.81,3.77,207560.99,69033.0,14071.01,239666.0,229538.01,60247.02,378613.02
"AK, Dillingham",4916,17.39,0.22,0.65,69.79,2.05,8.91,1.95,3910236.0,899038.0,1624050.0,4424989.99,2728477.99,480932.0,2622145.0
"AK, Fairbanks North Star",96849,74.61,4.29,2.59,6.89,5.83,6.89,2.45,23273920716.0,5931740726.0,5003147672.0,20553799363.0,28216100005.0,8570258080.0,28498430336.0
"AK, Haines",2530,81.5,0.36,0.51,8.97,1.86,5.81,8.93,321967.98,222740.99,40327.98,488390.99,472376.01,71042.02,547290.0
"AK, Hoonah-Angoon",2148,46.23,0.37,0.56,39.57,3.58,10.2,4.0,195639.99,132875.0,61818.99,381571.0,251466.01,84437.99,211320.02
"AK, Juneau ",31974,65.88,0.81,5.88,11.05,4.97,9.28,3.46,766854824.0,275519638.0,118488929.0,706332518.0,962938896.0,225425333.0,1255634008.0
"AK, Kenai Peninsula",58708,78.15,0.42,1.05,6.76,2.8,5.29,4.41,4789436213.0,2292697692.0,1481705968.0,6322497004.0,5580781893.0,1873932354.0,4975209460.0
"AK, Ketchikan Gateway",13901,64.15,0.55,6.73,13.17,3.87,8.99,3.88,64309501.0,27246516.0,19420392.0,79787848.0,78956985.0,22570220.0,67884421.0
"AK, Kodiak Island",12998,54.91,0.65,20.16,13.53,7.66,7.98,1.65,62916299.0,14782885.0,22419340.0,65213956.0,54570153.0,15931779.0,61480150.0
"AK, Kusilvak",8314,2.39,0.01,0.2,85.18,0.08,1.82,0.55,23888781.99,3117417.0,12137941.0,32190395.0,9656462.0,1230388.99,2253427.0
"AK, Lake and Peninsula",1592,22.74,0.57,0.38,65.58,2.7,10.3,1.7,121660.99,31426.01,48413.0,178431.03,96809.99,14948.99,65129.02
"AK, Matanuska-Susitna",108317,68.02,0.75,0.99,4.37,3.05,5.3,2.12,36727645266.0,10090012341.0,8961338369.0,42034287900.0,36397959730.0,12246458666.0,27443659800.0
"AK, Nome",10004,15.1,0.27,0.88,71.72,1.15,5.87,1.34,34367441.0,6355041.0,15452378.0,41172963.0,23628848.0,3702981.0,16162963.0
"AK, North Slope",9832,31.11,0.93,4.21,51.32,2.53,5.01,1.3,22688028.0,4050391.0,9763471.0,40842325.0,21759986.0,6979442.0,15708586.0
"AK, Northwest Arctic",7621,10.89,0.46,0.55,80.07,0.76,5.88,1.06,15617639.0,2677486.0,7730438.0,20653139.0,8032382.0,1986337.0,5860244.0
"AK, Petersburg",3266,81.11,0.46,2.94,18.46,3.98,9.98,4.81,813886.99,400019.99,360533.99,1105083.99,794683.01,234662.0,988813.99
"AK, Prince of Wales-Hyder",6203,44.43,0.27,0.34,34.9,2.05,7.64,4.9,6114048.99,2400995.0,2197041.0,9046021.01,6429534.0,1835343.99,4359468.0
"AK, Sitka ",8493,66.42,0.51,5.99,16.98,5.15,10.26,4.49,14411772.0,6953474.0,3238721.01,16777667.0,14354104.0,6448480.0,20441972.0
"AK, Skagway",1183,73.71,0.0,0.42,2.87,1.78,3.3,2.37,26026.04,15119.02,8813.02,48278.02,49685.97,9795.01,49118.01
"AK, Southeast Fairbanks",6893,80.3,1.03,0.93,11.56,3.39,4.98,3.12,8618938.0,3093096.0,3321185.0,11208432.0,8851784.0,2922081.0,6452331.0
"AK, Valdez-Cordova",9202,75.52,0.49,3.8,13.8,3.79,7.54,3.08,18993020.0,6452350.0,3607276.01,24014367.0,21067611.0,5207596.0,24022833.0
"AK, Wrangell ",2502,67.91,0.16,1.28,15.23,1.48,8.91,5.96,343674.98,247272.98,210968.98,552766.99,366843.01,132081.02,304243.01
"AK, Yakutat ",579,46.29,0.35,4.66,40.59,2.94,17.62,5.01,4759.07,1875.99,1707.94,6502.07,5668.05,1140.93,4388.95
"AK, Yukon-Koyukuk",5230,23.29,0.17,0.27,75.85,1.26,6.0,4.36,3971662.01,1455194.99,2007692.01,5746829.01,4119357.0,486860.99,1944776.0
"AL, Alabama",4903185,65.35,25.38,1.08,0.53,3.79,1.45,4.45,2792544336139914.0,1622008434835234.0,1628999622535381.0,3630691094511876.0,2523881263398046.0,1002115112555552.8,3002169377228572.0
"AL, Autauga",55869,75.45,17.17,0.84,0.39,2.34,1.56,3.97,4670156753.0,2092549930.0,2002655033.0,5857516586.0,3479051462.0,1465783554.0,4633636864.0
"AL, Baldwin",223234,68.18,7.6,0.6,0.51,3.58,1.22,4.6,255750088085.0,186556385919.0,102278108298.0,307701428254.0,242922966455.0,105098681049.0,354455141999.0
"AL, Barbour",24686,52.0,51.93,0.43,0.24,5.62,1.05,5.27,329623765.0,214203631.0,402995247.0,535600540.0,283248398.0,108351051.0,174166148.0
"AL, Bibb",22394,76.77,22.43,0.1,0.29,1.81,0.91,3.58,254907991.0,142423601.0,235199479.0,503998692.0,184699218.0,82595566.0,116546662.0
"AL, Blount",57826,88.11,1.25,0.2,0.49,8.0,1.18,4.05,4758627601.0,2846281881.0,3772527184.0,6462651686.0,4146703617.0,2422951035.0,2531625750.0
"AL, Bullock",10101,23.68,75.61,0.2,0.2,7.69,0.85,4.03,22936341.0,13876148.0,26099368.0,41505918.0,18416446.0,4611814.0,12427260.0
"AL, Butler",19448,58.23,46.52,0.89,0.3,0.98,0.83,4.22,177576576.0,122544765.0,109987775.0,332346094.0,120388954.0,54123978.0,118686865.0
"AL, Calhoun",113605,76.83,21.28,0.73,0.42,3.43,1.74,4.47,33546815795.0,21011124329.0,22824430536.0,48077789367.0,36621047755.0,11998797645.0,27096348888.0
"AL, Chambers",33254,59.82,39.71,0.5,0.17,1.61,1.16,5.24,827712677.0,613402951.0,675882229.0,1350880235.0,818644977.0,343027979.0,488886674.0
"AL, Cherokee",26196,91.35,4.6,0.19,0.47,1.22,1.48,5.47,385044002.0,321773327.0,331243443.0,723698555.0,362535613.0,150970692.0,229269488.0
"AL, Chilton",44428,79.67,9.39,0.28,0.3,7.7,1.14,4.86,2202024061.0,1190032414.0,1597631769.0,3895782027.0,1470516152.0,689662064.0,1115815884.0
"AL, Choctaw",12589,61.16,47.58,0.1,0.14,0.58,0.46,5.67,45215156.0,36276714.0,37148377.0,75168415.0,41443240.0,21949929.0,23804162.0
"AL, Clarke",23622,59.03,47.75,0.31,0.41,1.15,0.75,4.97,325982891.0,212988235.0,256177283.0,550577560.0,244849825.0,105406088.0,161149993.0
"AL, Clay",13235,84.52,15.47,0.17,0.42,3.01,1.78,4.84,52321793.0,40760888.0,54038505.0,87670228.0,43546062.0,22088289.0,24488059.0
"AL, Cleburne",14910,93.6,3.31,0.15,0.34,2.06,1.07,5.75,78630420.0,52264619.0,69515788.0,125870816.0,66069938.0,18918404.0,51108647.0
"AL, Coffee",52342,69.03,15.78,1.2,1.15,6.08,2.38,4.42,3468989080.0,2070653707.0,2018052091.0,3906790654.0,3449263474.0,1697508636.0,3268444371.0
"AL, Colbert",55241,78.45,15.75,0.41,0.47,1.98,1.53,4.99,3727185398.0,2931336044.0,2502285826.0,6377777289.0,3627704090.0,1290202719.0,3059196863.0
"AL, Conecuh",12067,56.05,50.73,0.14,0.36,1.33,1.09,5.41,40407436.0,31379509.0,27535325.0,89828317.0,22235016.0,13672997.0,22438828.0
"AL, Coosa",10663,71.31,33.35,0.13,0.38,2.16,0.97,5.81,24900238.0,20693364.0,24252140.0,48833981.0,25355015.0,7254039.0,15542709.0
"AL, Covington",37049,85.7,12.65,0.4,0.53,1.3,1.41,5.84,1147791728.0,934210912.0,843480134.0,1896835072.0,1072983499.0,495518890.0,776632994.0
"AL, Crenshaw",13772,72.76,23.53,1.37,0.41,1.48,1.47,5.25,62135270.0,41499305.0,54339905.0,103236289.0,42694302.0,15438963.0,45482443.0
"AL, Cullman",83768,89.02,0.98,0.4,0.47,4.12,1.06,4.97,13625060379.0,9363588715.0,10842788352.0,20027441918.0,13301572656.0,6459219802.0,8150335725.0
"AL, Dale",49172,72.61,19.41,1.07,0.69,5.74,3.06,4.54,2951996273.0,1599189486.0,1650206911.0,3838635291.0,3055482190.0,1188148937.0,2156512310.0
"AL, Dallas",37196,34.08,81.5,0.39,0.21,0.83,0.8,5.94,1361682327.0,724007865.0,934306238.0,1848551186.0,1034889802.0,571403092.0,757074365.0
"AL, DeKalb",71513,81.1,1.44,0.23,1.21,13.55,2.2,4.35,9446782200.0,5079844430.0,9199771292.0,12521896265.0,6679538036.0,3411110744.0,4760212786.0
"AL, Elmore",81209,73.2,19.47,0.63,0.33,2.62,1.41,3.4,12633853045.0,6373313179.0,7164041964.0,17407243352.0,10503699558.0,5057629929.0,13423922412.0
"AL, Escambia",36633,64.17,33.2,0.23,3.48,1.96,1.58,5.47,1113438055.0,745736516.0,927305782.0,2149712359.0,863427721.0,362602226.0,612880714.0
