State,Population,Race_White,Race_Black,Race_Asian,Race_Native,Race_Hispanic,Race_Multi,Alone_65,Under18,Over65,UnderHS,Ed_HSDiploma,Ed_SomeCollege,Ed_Assoc,Ed_Degree
Alaska,1463090,62.24,3.0,5.12,14.02,5.37,7.09,2.69,26.43,7.74,7.22,28.12,26.7,8.53,29.42
Alabama,9806370,65.35,25.38,1.08,0.53,3.79,1.45,4.45,23.69,13.73,13.78,30.74,21.41,8.5,25.58
Arkansas,6035608,72.02,14.82,1.18,0.67,6.17,1.89,4.49,24.44,14.32,13.41,33.94,22.32,7.14,23.19
Arizona,14557434,50.77,3.28,2.34,3.54,26.04,3.0,3.93,25.51,13.75,12.87,23.83,25.16,8.62,29.52
California,79024446,37.85,5.48,12.09,0.41,35.47,4.59,3.14,24.96,11.4,16.78,20.57,21.11,7.85,33.69
Colorado,11517472,61.14,3.28,2.35,0.54,18.04,2.99,3.56,24.41,10.88,8.26,21.37,21.07,8.44,40.86
Connecticut,7130574,71.42,9.4,3.76,0.19,13.44,2.6,4.57,22.87,14.17,9.37,26.83,16.75,7.72,39.32
District of Columbia,1411498,29.68,42.66,2.95,0.19,7.76,2.45,4.45,16.75,11.44,9.08,16.84,12.55,2.99,58.54
Delaware,1947528,60.26,19.18,2.91,0.29,7.52,2.45,4.15,22.89,14.49,9.98,31.3,18.88,7.86,31.98
Florida,42955474,50.68,13.27,2.07,0.22,19.67,2.2,4.65,21.3,17.36,11.81,28.54,19.91,9.83,29.91
Georgia,21234846,50.99,27.42,2.94,0.2,8.04,1.95,3.32,25.76,10.59,12.83,27.68,20.31,7.82,31.36
Hawaii,2831744,21.85,1.41,36.25,0.2,8.53,22.65,3.4,22.34,14.34,8.03,27.35,20.91,10.73,32.98
Iowa,6310140,85.61,2.75,1.67,0.27,4.8,1.69,4.82,23.93,14.75,7.89,30.81,20.93,11.54,28.84
Idaho,3574130,73.65,0.5,1.04,0.98,9.84,2.18,3.67,27.38,12.37,9.25,27.29,26.01,9.85,27.59
Illinois,25343642,64.46,14.46,4.58,0.15,16.0,2.29,4.38,24.41,12.51,10.77,25.92,20.54,8.06,34.72
Indiana,13464438,78.52,8.65,1.51,0.21,5.79,1.9,4.26,24.84,12.91,11.18,33.27,20.18,8.74,26.64
Kansas,5826628,76.56,5.58,2.3,0.79,10.3,2.95,4.39,25.49,13.1,9.07,25.83,22.96,8.67,33.47
Kentucky,8935346,83.84,7.46,1.08,0.19,2.97,1.68,4.39,23.6,13.29,13.68,32.82,20.85,8.32,24.33
Louisiana,9297588,58.83,31.03,1.49,0.6,4.14,1.57,4.19,24.66,12.27,14.74,33.95,20.95,6.22,24.13
Massachusetts,13785006,72.32,5.68,5.04,0.16,9.11,2.5,4.54,21.66,13.76,9.26,24.02,15.44,7.6,43.68
